-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-44.94668820961007 -29.846139234316038 17.793503376989538,-26.620402479534082 -13.42375924040507 2.7215255467300796,-34.082541775503266 -0.7468280178563688 20.97562773418233,77.02199325721871 -7.619143339587018 -12.136934134763004,8.77762651375291 -5.3127110134155044 -2.6740769854522455,-9.233427481659243 -3.959959995006218 -47.12339884074033,20.644044110487908 40.720866214190586 7.742586277627235,9.450627083105301 5.550397757441548 -4.861058638593712,22.18724642209441 9.69636299559351 49.03836621740966,22.108400766342683 -44.72247761560204 -9.228045891979948
-46.309423673651345 -29.551852910893352 18.29388571184052,-27.050322173451704 -12.478968997295256 2.7905885828551833,-33.187587016430776 -1.2232818501167166 21.23810670853065,75.8520525591878 -5.826241112601276 -11.734298772673688,9.836190946481183 -5.563678556379929 -3.359437330759923,-8.258361161059032 -5.956999001136355 -47.38994792672544,20.54607198259026 40.53006281159154 7.646682944992,10.579711961440408 5.4905422235229855 -4.855335219991703,24.28993197462878 10.245329021731376 50.046778652887625,21.95585449192255 -44.22138766356592 -9.051638898579721
-47.671326280736984 -28.696002467741202 17.851080721815606,-28.07119707221885 -11.05163323511711 2.110413169832774,-32.64843879671935 -1.585304421219256 21.093155886594815,75.81681137061263 -4.262968762507267 -11.1782826725989,10.387379681906314 -5.735881984427477 -3.9513724134008528,-8.083048508997702 -7.199946038450311 -48.00457127933412,20.648171264031976 40.826568783515604 7.746947988289021,11.210486514886536 5.519029764493098 -4.769670574650345,26.87462510137652 10.947240013372706 51.116186222757285,22.227116057003023 -44.95519420012272 -9.333852181867847
-48.77745079001742 -27.483540614969236 16.40436121057468,-29.761872341746283 -9.474942427818629 0.7029444964641397,-33.06627435265602 -1.7948233424655897 20.45598669856228,77.83267029123999 -4.019909538551966 -11.219707781144576,10.261472578514816 -5.766763084410904 -4.356161324038098,-8.91999572145653 -7.17848975595288 -48.75723391923686,20.876821723462122 41.384949387755185 7.969387566650209,11.165077207120945 5.640152291585039 -4.699727861164028,29.749512410350363 11.929828940355733 52.20603840211649,22.856336965963656 -46.75034313747796 -10.001589970600229
-49.30183373153252 -26.725407719331084 14.752618149866624,-31.553142723679272 -8.64053164976461 -0.6139339163665878,-34.02394534518908 -1.9172666434123689 19.922164052733812,80.79721060534095 -5.58920682059709 -12.365183721371874,9.524969510943885 -5.631103240543661 -4.5038164278460915,-9.634236330911508 -6.9184879775068655 -49.157694861117434,21.042328917896064 41.75049403363203 8.13357141738953,10.494459800388174 5.796283190264346 -4.865611700732165,32.45027480632632 12.414257826808967 52.90681621175443,23.381880338475703 -48.29021416620472 -10.567315032123556
-48.91391889430196 -27.290331705933458 13.780321751846733,-32.81139662792168 -9.492347562525651 -0.9440404133346328,-35.00079132920824 -2.0285831817147275 20.15443197118466,83.4034789548984 -9.395750106194319 -15.091599687281336,8.269797038690202 -5.30800987152968 -4.327578093640273,-8.957710570620302 -7.5994853515575365 -48.689653662839554,20.943892286010367 41.44696653405325 8.048917365031292,9.274365316446076 5.923555189059868 -5.498726326518522,34.48525188400452 11.533214521749768 52.77325679177108,23.303664286617394 -48.146977506886756 -10.503227352633099
-47.68608837999202 -29.35588277839123 13.924013513087903,-33.25699846861032 -12.198234813772622 0.0550025315560177,-35.691763327989676 -2.182819431463827 21.379271621947957,84.8719611986704 -15.042455063183837 -19.204334164892177,6.746879086250952 -4.847039721158369 -3.8761187582381607,-6.480217439070801 -9.711868811241523 -47.25406781066884,20.50913165393192 40.30960864486694 7.645938522633831,7.75257456190451 5.979086573741706 -6.604760519109611,35.47346409361556 9.154612526712897 51.69840149685654,22.46929725110194 -45.870750962271885 -9.64473175158736
-46.515899114588045 -31.684213609871858 14.702924543963945,-33.335217882191564 -15.336663641066188 1.591440467313332,-36.23336172847857 -2.3891681138503826 22.929744230990064,85.50328263458331 -20.44892234755688 -23.133583104595854,5.532749277210337 -4.442022260895426 -3.4345034611084673,-3.5483594792933895 -12.334703559272691 -45.60639466581037,19.92865814776419 38.811535833054286 7.103138279448426,6.5292080105965535 5.962971820147505 -7.727161810045207,35.260594510043276 6.6520293111643385 50.26810274503034,21.43842049961399 -43.01438500901294 -8.571037931408945
-46.39985688998505 -32.866645007846806 15.524748110126506,-33.57899968140912 -17.2939711862994 2.735866515358061,-36.815513004866794 -2.6511165850791034 24.0308252402292,85.72954294013562 -23.33236401602008 -25.14381988241639,5.242421485915515 -4.304023695620759 -3.3160268518904505,-1.7214596649692175 -14.375404281957445 -44.60541658309733,19.42507699415694 37.50348200707036 6.629193929239548,6.246066286274317 5.880623809493767 -8.353541396861138,33.72120479001655 5.580317764890592 49.1518510533091,20.85683483888841 -41.373128493301145 -7.951380268962701
-47.75005923700124 -32.18764680159116 16.01576600611079,-34.21769954072028 -17.14929194550569 2.8988626804583166,-37.449372201526096 -2.9124774555495714 24.273471369136146,85.76400069086483 -22.451661347157323 -24.243798740165364,6.102382033616201 -4.524198920718726 -3.6338744716654587,-1.890285039936673 -15.065183303145291 -44.74526011080543,19.162911020695688 36.80038903496863 6.379341625341856,7.135991758122414 5.7531872354626845 -8.1847925983643,31.044637406360433 6.631474169349088 48.685516194048034,21.08368135632112 -41.95208179634947 -8.161293733221978
