6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
2.112362976069468 91.70054260290254 -0.34815743190124465,-4.618645713769761 60.24985254085541 -16.727310592894757,32.46691096179114 -25.38299576633025 -0.8334170247439099,-66.56802970069224 59.61332700247422 -31.74820511009951,-18.942329671336203 -2.073289649712681 -9.771405906146406,23.007889786870216 55.95608622425947 -0.006152310272723385,25.693988392856642 123.53100988436422 46.0574875399169,-16.40141220558979 7.410871032415316 -22.066441284944048,15.396875789535635 -31.169191119847085 58.66365822877687,16.532896426468948 -31.002031525553747 -4.588681582070729
1.1635142971948853 92.57969095399952 -1.8827119658741958,-4.01646328062845 61.85165840043048 -17.44918775825236,30.52678381729083 -22.465674369511245 -0.15216367555388394,-67.69608410101054 49.19697236228551 -22.952853339553094,-18.993065196734978 -2.922382426753123 -7.10244849816474,25.798150496664046 54.65995238015419 -0.049006067155495464,26.245945011218588 121.39332535260198 45.11919665290797,-16.877235608472372 6.686845858539813 -19.41183271984851,15.13314592732581 -32.26036908902734 55.76959066052947,17.140860355484623 -32.33091875700098 -4.97066331647073
1.43620403357998 92.0931021655992 -2.8767077005358916,-4.134094794316617 60.573952889754985 -17.863031544626914,30.589348360882656 -20.732423975488473 0.5910970289937221,-68.77249469468195 49.76615417112005 -23.71321940012039,-18.830821758261497 -3.349043720736811 -5.5832170219468455,26.275879149897545 55.043927069668605 -0.2619635163613955,27.043851343434902 118.04293903083271 43.62620364455804,-16.971034392708056 6.382369969449049 -17.70571121211332,14.158934187690488 -32.56255369657875 54.50794737490559,17.601998092934977 -33.31193945000368 -5.266398608248136
2.9909023554661878 90.46693051040754 -2.870490044908929,-4.951764307859989 56.83469643801973 -17.78803284431577,32.82161506247822 -21.017153000494243 0.9943058427626166,-69.56516085028906 62.07051798656481 -34.660705203451876,-18.430172722168894 -3.174194715983397 -6.011734128675063,23.20461424990618 57.5476915455073 -0.5217530270115948,27.875061652873036 114.25735275960002 41.913518400198676,-16.528580922244963 6.652308120151739 -17.695828499846154,12.691061192732507 -31.993030511225545 55.50428807001059,17.748818640398433 -33.58081720503665 -5.370815794797001
4.78447084011979 89.45655590413732 -2.169850464297223,-5.446562608134948 54.4326896857779 -17.45663402087561,35.353999242835265 -22.33011443077166 0.7072152415514558,-70.26898319986918 74.8330458583494 -46.298701437217034,-17.77872213881214 -2.8423998602053016 -7.500317186263216,17.170843541810058 61.23513125102273 -0.9861788537069859,28.312851115036224 111.99568020542327 40.864646592846654,-15.663760696565676 7.074393603484119 -18.495903867270737,11.184346435111394 -31.77520659570152 57.24459284020717,17.533769112016905 -33.062591020259056 -5.254103581770403
5.6643913740411715 90.96450688475623 -1.1590645017914516,-4.498343051704743 57.49275966885437 -17.143035869648305,36.11565619912885 -23.497348851292912 -0.6119631113384885,-71.12105835298595 75.5931341471041 -48.132559269003956,-16.866419677857422 -2.860252052983455 -8.990464390495678,8.954258403515093 65.02932105576892 -1.8402535288565522,27.911089874053012 113.32730352267163 41.41450164346129,-14.518703222541939 7.168908838999991 -19.05508014691075,10.11691686997695 -33.25940823688465 58.001185943743856,16.922546477623296 -31.71392801708354 -4.894737383849452
5.1255880660616455 95.34415779849952 -0.16033473095285347,-1.8980495717173187 66.81933688316137 -16.99726593922372,34.31750349756026 -23.902497028752542 -2.8444346343616727,-72.08958640971966 60.18471573727663 -36.45968807430787,-15.831270212893745 -3.400762951130449 -9.859114330664694,0.11574044572836428 68.00256464537838 -3.0081722358255236,26.616959812395926 118.61778642877778 43.73987231933424,-13.325068863020345 6.757667465480992 -18.893257825299308,9.785795497989099 -36.65577023839416 57.06525823163244,16.01175719112453 -29.758053062209342 -4.349277466187543
3.9888778609646485 99.77637991139181 0.63125511672029,0.6975572640335909 76.4170327319664 -16.91505817081366,31.79537155566923 -24.07110561854282 -4.928179898103702,-72.59209600752506 41.42805244762282 -21.48691031387492,-15.114479934069102 -3.95380529227904 -10.3749412263983,-6.1840341793972335 69.53277045496053 -3.880003956966018,25.183103436172296 124.7434536305272 46.46498870006803,-12.497867655056728 6.279987000202695 -18.69918838202242,10.117123675795874 -39.83943647010431 55.81453101203082,15.166096411651306 -27.964072944541066 -3.8341935658054567
3.2357974774829934 101.059956886003 1.0367096143455465,1.4070238321638724 79.47131725033509 -16.761275046032463,30.702603101741676 -24.667141349011178 -5.687934976008874,-71.98024733854605 34.195867368745105 -15.102832016461452,-15.193246169126684 -3.9268161342323147 -10.915009137245253,-6.59577639559157 69.03672070362614 -3.7821886070603576,24.459051316977742 128.16021430983554 48.026934632755946,-12.473516270767426 6.249754655266124 -19.302950980721885,10.991437978289527 -40.40457939272949 55.87890089236668,14.782282343338432 -27.166229499075317 -3.5850705342018614
3.3924534785052285 97.77482751281002 1.0234602483757564,-0.5977481789363769 72.93223518192555 -16.474993702896114,32.10351149629646 -25.963040350068493 -4.577296437574711,-70.04158454898807 45.69146299169809 -23.225488079629425,-16.22748662352829 -3.0659237946270883 -11.633168896220388,0.1951731034130184 66.33808541659177 -2.5367855544669617,24.80871127758821 127.23228846502307 47.689605047268124,-13.39650242418247 6.889905179413954 -21.033517632007406,12.235401837855582 -37.32584813651205 57.96281390351499,15.032426074172058 -27.721767497656028 -3.7074415797221505
3.9084099618125743 92.71121202178111 0.9050613700262007,-3.654943513627186 62.648505380712976 -16.170719340396477,34.488170460457305 -27.30574159207888 -2.5363566847382897,-67.59399108161966 64.98922159390486 -37.659721111862886,-17.627135756532027 -1.9178525092510421 -12.15564154710786,10.694030682805872 62.222333033575666 -1.1373958001331228,25.448079645640636 124.8347472186072 46.67130485227952,-14.721254297389258 7.735622020528636 -23.03534693013824,13.548333747390922 -32.84105246733991 60.58314278496399,15.557714036850465 -28.860409549561044 -3.999424789611643
