-24.1 -3.4 -8.8,-13.2 -5.3 1.9,-13.6 1.9 -9.2,27.9 -2.6 17.4,29.0 -1.0 1.8,-9.2 75.5 -37.1,27.9 113.4 41.5,28.7 10.7 1.2,-3.6 -61.5 37.9,28.5 -109.8 -39.8
-26.03517158150377 4.944004071927894 -11.416711304965647,-10.68737368814265 0.8708277288146987 0.7187868593940024,-14.244337294377273 4.911806601599962 -7.412156378070723,29.76454151426957 -4.445876608748349 13.364846446717408,28.730412080416848 1.2642428884056114 7.839753826939695,-1.0075972547037073 71.12630615493663 -37.70802482708778,29.53682826752751 101.74094459339108 35.8544212315237,27.267711009849283 13.008388976851073 8.247057020560636,1.0735185905550184 -44.36450420180326 42.86032268803774,29.11732161579897 -105.3886739363322 -37.697856959383756
-26.340580403490186 3.622568631817781 -10.674846727408111,-11.556706019424144 0.1401918204719081 0.7801756896783961,-14.247293955299387 5.0130897302398445 -7.153492709945726,29.64661343380244 -4.352335277393584 13.57679743565234,29.25298038944814 1.090933996530571 7.273198379988099,-1.5002156427675168 72.4040731984987 -37.579477704711664,29.37024950386523 103.50395966001983 36.698382404454335,27.864349041788405 12.944404460658843 7.882665869093978,-0.4383567509500849 -49.964499869703836 41.79233527015645,29.173991294356522 -104.81065067467799 -37.41530990450573
-26.299548561519593 2.3962886402074264 -9.714235213416892,-12.224175494259823 -0.22682564983804537 0.6839351679397027,-13.993623528858457 5.145111201275759 -6.641833609857452,29.013897871487032 -4.260708340974681 13.723674203880442,29.799945047149002 0.8440616222030852 6.785159892154745,-2.224515538362938 73.47558194467148 -37.51533150087901,29.190549620705607 105.22087708072672 37.523160770250804,28.4736987483484 12.801563015132126 7.541208773075999,-2.320849478521321 -56.18859298584312 40.36898959708979,29.21045250260416 -104.47864176266427 -37.247412070903415
-26.1132488678218 1.6634266636443715 -8.859885676433109,-12.66102783292734 -0.043075753966753096 0.5344884996773691,-13.648608168843516 5.221697388589297 -6.031784705291514,28.312684558367568 -4.145597650951818 13.605536609492935,30.320587262274323 0.5964303840399159 6.519420782502981,-3.344047047272002 74.11042396816441 -37.49435445719065,29.040844244171076 106.45429194964002 38.121849685922406,29.035149393762673 12.616765299244125 7.329836741317046,-3.672589736659308 -61.277819513875045 39.087696356920354,29.16936779793477 -104.9099069902616 -37.444256942733674
-25.934133759153944 1.5433426107994275 -8.301850232004002,-12.905987194577714 0.6359163137061736 0.3924681682172417,-13.346831681527583 5.211642613381997 -5.468678115681785,27.83401904746861 -4.00596520702002 13.227106772218377,30.774959901572295 0.4039009895422332 6.511043854704632,-4.767317052803636 74.25947780216342 -37.45757970438981,28.934701473079148 107.11464206156478 38.451047539994896,29.503968915023616 12.43627059782041 7.280900547951813,-4.131103113996164 -64.45948476649336 38.18152013644634,29.034295686383004 -106.19420425118543 -38.05205795455076
-25.857055833124267 1.8256627198602258 -8.070627835929349,-13.07755436543891 1.4677230045474332 0.2667349180809019,-13.186584641411415 5.148727250293233 -5.08688232221131,27.68540890394015 -3.8695728817480117 12.835069506772971,31.135850663199193 0.3023021463478184 6.666557756072192,-6.101306671111582 74.08794913859971 -37.30142790267579,28.850756735809156 107.52360349536596 38.6606571326294,29.854197867108365 12.317402464763369 7.338318120614456,-3.9710262763868016 -66.12691454188948 37.5710013933738,28.83714405636738 -107.9158757845863 -38.87599061891297
-25.970684413163102 2.282181284079091 -8.18477414801651,-13.29609682146433 2.0981083820909032 0.16307982097954896,-13.261128852447326 5.07013929549468 -5.01612831160396,27.959295830503375 -3.765099210010503 12.68568919886326,31.3775207783952 0.32496780924630847 6.885452227284982,-6.942602426432553 73.77264730803998 -36.923364462908935,28.765718284636762 108.02308626494627 38.91012389498577,30.06191867675164 12.316630307147003 7.441361406587125,-3.502937211416157 -66.74070889880913 37.15986244007695,28.61292548858775 -109.6313155698236 -39.70776614675678
-26.24181940875212 2.7362783507325097 -8.546415140914148,-13.565095665915669 2.3758577415198205 0.08388209206717456,-13.538619146504812 4.998343631880669 -5.215336579239516,28.557576911959213 -3.689381824353209 12.847835397279297,31.505717094866903 0.4481601097705944 7.083580572702028,-7.187140462383822 73.45739940021845 -36.375312529828946,28.660137573649724 108.80510552186537 39.28978151426337,30.144069703918063 12.426734691081862 7.548957966642813,-3.001146190813276 -66.75888790994149 36.90426412020036,28.4099884209556 -110.94973511422113 -40.35850554455712
-26.47239874835034 3.0811179212935507 -8.900173536431472,-13.729910958126327 2.4243985655430786 0.026905469876025597,-13.817968684479283 4.935888072565055 -5.412359339540314,29.124385105378042 -3.5961847585785813 13.136874470263656,31.568779436984723 0.5709358041439349 7.1989323278941875,-7.13580981166592 73.24141493113964 -35.918141916305906,28.519765046933966 109.85890229126096 39.79647099026694,30.172858221998073 12.55433946664894 7.646624997734058,-2.690901401823234 -66.63598150554769 36.83130484791587,28.29472171487581 -111.55179619314565 -40.66558691841726
-26.454786375177044 3.216770663649081 -8.982894255022423,-13.62656109433222 2.386152939934641 -0.010631783049890313,-13.888540640661615 4.883900717848971 -5.321773035840042,29.289727157293797 -3.43664170855491 13.352476615398556,31.6174313985764 0.5882471806470239 7.172383170450991,-7.115166971512944 73.2190225910416 -35.82413276006901,28.33129293158393 111.15679479588971 40.41918353685485,30.22339186310106 12.601101286498205 7.722012069347762,-2.790546757732388 -66.82009785972 36.97233738699076,28.333665395630018 -111.1298110617756 -40.47150380278089
-26.109050478251262 3.1604989852730885 -8.735556834533261,-13.20399855009048 2.373524416392208 -0.04458275538934109,-13.687495351356619 4.843153238332665 -4.845722304910124,28.93384863413558 -3.187515553880639 13.432205967328136,31.664020239434404 0.47759435694200475 7.0236996028625605,-7.267131332295226 73.38172673766253 -36.16028566849488,28.115778057172644 112.51934342531979 41.07410640211289,30.30941075981333 12.53758441623207 7.777466458163836,-3.3131240162046516 -67.38890421221595 37.31185400643076,28.525595575130083 -109.77081572664981 -39.813847053118565
-25.55320082758159 3.111212489999593 -8.41554946976833,-12.586223623906067 2.4523878187952803 -0.11106113021639605,-13.381078753990689 4.813864838580017 -4.177082483350453,28.324865273170023 -2.8652944089359487 13.527362263142479,31.661409901596638 0.34442658623226263 6.8949289062149495,-7.44743476874428 73.56165401336625 -36.675417976913494,27.94754238711495 113.53188392767714 41.56458068717928,30.349535420460363 12.441159921529257 7.838116887011355,-3.953456593689167 -67.84588435457417 37.761713208361186,28.764254299564698 -108.1736680089156 -39.03260837249248
-24.92148171159666 3.2813165920243397 -8.305444004306377,-11.911420381486291 2.6836349602741048 -0.24767989707662996,-13.153905722346142 4.7962787317623805 -3.532243692832973,27.762468537412342 -2.4896957569964533 13.805926873989085,31.558053460025977 0.304446748235545 6.937432134651151,-7.488089261545524 73.57923050058153 -37.093258260301134,27.904935188504957 113.76260967956526 41.68568713907971,30.255199056612568 12.397850964223405 7.9306713508766435,-4.380828828080494 -67.65016338717703 38.228143399831325,28.934987417269177 -107.08558846303072 -38.491736076144186
-24.276861022824093 3.6917211763209647 -8.504899500296629,-11.239177852319049 3.0399930785419573 -0.47015427248204444,-13.070344002110797 4.797069935377897 -2.993236377518918,27.385452634714703 -2.063546166975287 14.282646958050998,31.365881494464727 0.40567462940021687 7.194223227053016,-7.301884662866548 73.43555177688148 -37.3427055863734,28.016435334961958 113.0577297888405 41.36259830218465,30.02730294139297 12.445523877504423 8.047632435694577,-4.4294767264992245 -66.71344430535507 38.6729374390435,28.98059520073764 -106.87012410170934 -38.37028185046926
-23.555475335155336 4.0225833417949515 -8.788094628086125,-10.48923074306973 3.337306768527271 -0.7552339305103701,-12.980790056815941 4.834358409021801 -2.4030074132325754,27.046306457132978 -1.5596160171704052 14.699600200752801,31.209778326677885 0.5756927260982642 7.515520073550478,-6.945349349069322 73.4532020419397 -37.717745441854724,28.221780852797373 111.75816274576643 40.75197589750456,29.825950452339413 12.536353314995539 8.120636614858261,-4.2271561556871635 -65.75276054344647 39.156761205485054,28.946114017393388 -107.20810193464077 -38.51828687352518
-22.681287780356577 3.9206594892579094 -8.896648478373061,-9.567884837771697 3.3761786108196135 -1.0755940158465376,-12.71444160638801 4.927289144265216 -1.5810997661200725,26.568811839948385 -0.9481067935061256 14.772170473138766,31.225456539849166 0.7298661802170625 7.732226400497675,-6.489746744208107 73.98575907839935 -38.54799373860023,28.45167873800453 110.25529576524869 40.03412937821038,29.82668058663995 12.613823992379636 8.075452191152056,-3.9317646741131242 -65.5643304236685 39.74981056723425,28.887045569327054 -107.71038929221311 -38.75205870579584
-21.711296253545065 3.287503316253383 -8.718680656844658,-8.52732608667027 3.0945593039280412 -1.3953647555001985,-12.227228750559084 5.07215074870312 -0.5304300470125058,25.89581456804645 -0.27741199492593366 14.424553521872179,31.428201779423283 0.8127552353625069 7.757929709020579,-5.994239879855619 75.06977418410536 -39.86711112285598,28.65406202940479 108.86263055718116 39.35763806457904,30.060964988109205 12.642601522863453 7.897826893122908,-3.684190213146082 -66.37854338191161 40.42448376178815,28.84804281380545 -108.04944856119704 -38.91474421409158
-20.974939701063768 2.546466294249125 -8.442328248103719,-7.7184875105857085 2.711673889152115 -1.6611772935687759,-11.734616028848794 5.2184243856142425 0.37055540503884965,25.213990736347355 0.2439459502567069 14.00856961422328,31.586678126021805 0.8287085994672702 7.675545080125216,-5.493211470283467 76.09256212196068 -41.10267332255569,28.812140870076345 107.73416759789919 38.806101338234996,30.265240677943677 12.630727745851617 7.696339936329596,-3.590486796300338 -67.26703145320545 40.95289987695552,28.85154163212341 -108.02388225511244 -38.90445431105205
